temp,rain_1h,snow_1h,clouds_all,year,month,day,day_of_week,day_of_year,hour,minute,Clear,Clouds,Drizzle,Fog,Haze,Mist,Rain,Snow,Thunderstorm,traffic_volume
290.52,2.05,0.0,90,2015,8,18,1,230,11,0,False,False,False,False,False,True,False,False,False,4677
286.34,6.45,0.0,75,2014,6,7,5,158,7,0,False,False,False,False,False,False,True,False,False,2274
295.84,0.0,0.0,1,2014,8,6,2,218,21,0,True,False,False,False,False,False,False,False,False,2961
267.29,0.0,0.0,1,2016,12,31,5,366,19,0,True,False,False,False,False,False,False,False,False,3974
279.26,0.0,0.0,90,2012,11,1,3,306,22,0,False,True,False,False,False,False,False,False,False,1825
265.93,0.0,0.0,90,2012,12,28,4,363,15,0,False,False,False,False,True,False,False,False,False,5372
285.55,0.0,0.0,1,2017,8,7,0,219,6,0,False,False,False,True,False,False,False,False,False,5647
293.95,0.0,0.0,1,2018,8,3,4,215,23,0,False,False,False,False,False,False,True,False,False,1833
290.69,0.0,0.0,75,2017,8,21,0,233,4,0,False,False,False,False,False,True,False,False,False,833
281.21,0.0,0.0,90,2017,4,3,0,93,8,0,False,False,False,False,False,True,False,False,False,5958
282.87,0.0,0.0,75,2016,11,7,0,312,5,0,False,True,False,False,False,False,False,False,False,2673
278.3,0.0,0.0,90,2016,4,6,2,97,11,0,False,True,False,False,False,False,False,False,False,4866
272.68,0.0,0.0,90,2016,1,7,3,7,9,0,False,False,False,False,False,True,False,False,False,4839
256.21,0.0,0.0,90,2018,2,24,5,55,7,0,False,False,False,True,False,False,False,False,False,1836
275.28,0.0,0.0,75,2014,4,14,0,104,15,0,False,True,False,False,False,False,False,False,False,5755
261.82,0.0,0.0,1,2017,2,2,3,33,0,0,True,False,False,False,False,False,False,False,False,531
286.72,0.0,0.0,1,2017,7,8,5,189,6,0,False,False,False,False,False,True,False,False,False,1374
290.19,0.0,0.0,12,2014,5,7,2,127,17,0,False,True,False,False,False,False,False,False,False,6447
290.49,0.0,0.0,1,2015,7,4,5,185,3,0,False,False,False,True,False,False,False,False,False,341
299.83,0.0,0.0,1,2015,7,14,1,195,18,0,True,False,False,False,False,False,False,False,False,4468
290.82,0.64,0.0,90,2016,5,27,4,148,15,0,False,False,False,False,False,True,False,False,False,5406
261.93,0.0,0.0,90,2018,2,13,1,44,6,0,False,False,False,False,False,False,False,True,False,5675
285.059,0.0,0.0,68,2017,2,20,0,51,0,0,False,True,False,False,False,False,False,False,False,629
276.793,0.0,0.0,64,2014,1,18,5,18,9,0,False,True,False,False,False,False,False,False,False,2789
285.45,0.76,0.0,90,2014,5,20,1,140,8,0,False,False,False,False,False,True,False,False,False,6182
248.15,0.0,0.0,1,2018,1,1,0,1,6,0,True,False,False,False,False,False,False,False,False,686
293.9,0.0,0.0,0,2013,7,16,1,197,3,0,False,False,False,False,False,True,False,False,False,348
285.91,0.3,0.0,90,2014,5,9,4,129,4,0,False,False,False,False,False,True,False,False,False,749
292.67,0.0,0.0,75,2018,6,11,0,162,12,0,False,False,False,False,False,False,False,False,True,4763
273.53,0.0,0.0,1,2013,4,4,3,94,10,0,True,False,False,False,False,False,False,False,False,4825
262.08,0.0,0.0,5,2018,2,20,1,51,21,0,True,False,False,False,False,False,False,False,False,2591
294.23,1.65,0.0,80,2013,6,24,0,175,8,0,False,False,False,False,False,False,True,False,False,5866
295.57,0.0,0.0,90,2018,8,20,0,232,19,0,False,False,False,False,False,False,True,False,False,3231
291.35,0.0,0.0,40,2015,7,10,4,191,3,0,False,True,False,False,False,False,False,False,False,379
298.88,0.0,0.0,1,2018,6,13,2,164,16,0,True,False,False,False,False,False,False,False,False,6781
296.15,0.0,0.0,75,2016,8,30,1,243,12,0,False,True,False,False,False,False,False,False,False,4845
291.04,0.0,0.0,90,2016,9,16,4,260,10,0,False,False,False,False,False,False,False,False,True,4416
276.86,0.0,0.0,90,2014,2,19,2,50,16,0,False,True,False,False,False,False,False,False,False,6660
282.82,0.0,0.0,90,2017,10,26,3,299,15,0,False,True,False,False,False,False,False,False,False,6134
280.0,0.0,0.0,40,2012,11,2,4,307,15,0,False,True,False,False,False,False,False,False,False,6093
299.93,0.0,0.0,40,2017,7,31,0,212,11,0,False,True,False,False,False,False,False,False,False,4651
284.311,0.0,0.0,92,2016,10,29,5,303,15,0,False,False,False,False,False,False,True,False,False,3779
281.15,0.0,0.0,1,2013,11,15,4,319,19,0,True,False,False,False,False,False,False,False,False,3659
295.05,0.0,0.0,40,2016,5,22,6,143,23,0,False,True,False,False,False,False,False,False,False,1166
286.8,0.0,0.0,90,2013,10,5,5,278,14,0,False,False,True,False,False,False,False,False,False,5168
267.51,0.0,0.0,40,2017,12,21,3,355,22,0,False,False,False,False,False,False,False,True,False,2294
270.22,0.0,0.0,90,2018,4,14,5,104,11,0,False,False,False,False,False,True,False,False,False,2153
261.82,0.0,0.0,90,2016,12,16,4,351,23,0,False,False,False,False,False,True,False,False,False,1057
